Date,SPY
2020-05-06,106846.96011408493
2020-05-07,108136.27269514039
2020-05-08,109925.53426799619
2020-05-11,109948.08394795482
2020-05-12,107756.65937785097
2020-05-13,105850.86824691336
2020-05-14,107117.61866893995
2020-05-15,107609.99286509285
2020-05-18,110887.82033383517
2020-05-19,109748.83063312384
2020-05-20,111613.25364615172
2020-05-21,110842.70849484767
2020-05-22,111053.16801477161
2020-05-26,112421.41071521747
2020-05-27,114094.13025092121
2020-05-28,113883.63329378651
2020-05-29,114391.09468588296
2020-06-01,114853.44423899187
2020-06-02,115804.42426717585
2020-06-03,117345.58944420553
2020-06-04,117037.35640879959
2020-06-05,120036.97548517998
2020-06-08,121487.9294633048
2020-06-09,120582.07375317861
2020-06-10,119909.20228479449
2020-06-11,112996.5461053304
2020-06-12,114349.71408890298
2020-06-15,115417.27359144982
2020-06-16,117638.79767901922
2020-06-17,117150.16720394412
2020-06-18,117195.25408479114
2020-06-19,116525.50238397186
2020-06-22,117272.99869250691
2020-06-23,117812.89318820742
2020-06-24,114807.69596742112
2020-06-25,116038.44427174947
2020-06-26,113282.36673055058
2020-06-29,114947.31180548275
2020-06-30,116419.76722166443
2020-07-01,117235.27446311293
2020-07-02,117880.8666839101
2020-07-06,119700.66454169055
2020-07-07,118466.07268372233
2020-07-08,119372.1779752537
2020-07-09,118692.61772521058
2020-07-10,119904.51015437706
2020-07-13,118866.2764669397
2020-07-14,120406.65546254303
2020-07-15,121512.86264568308
2020-07-16,121112.69629967654
2020-07-17,121463.76998328284
2020-07-20,122445.41108709403
2020-07-21,122705.91167875797
2020-07-22,123404.37772024403
2020-07-23,121931.92230406232
2020-07-24,121146.65184985222
2020-07-27,122030.09514979261
2020-07-28,121256.15569137802
2020-07-29,122747.41706644054
2020-07-30,122309.46409568869
2020-07-31,123276.0055244861
2020-08-03,124133.03063268746
2020-08-04,124612.50147019219
2020-08-05,125386.4409286068
2020-08-06,126224.62264071652
2020-08-07,126315.24564893992
2020-08-10,126692.76248242578
2020-08-11,125647.00391562204
2020-08-12,127398.76588234851
2020-08-13,127168.51455699328
2020-08-14,127172.25827807107
2020-08-17,127576.243219577
2020-08-18,127851.8185281142
2020-08-19,127319.48634899089
2020-08-20,127715.89649484938
2020-08-21,128169.01153596638
2020-08-24,129467.73333599741
2020-08-25,129920.77350269283
2020-08-26,131223.33885636373
2020-08-27,131510.27011883695
2020-08-28,132359.7079523206
2020-08-31,131880.22463574563
2020-09-01,133122.37881029103
2020-09-02,135047.87439316814
2020-09-03,130400.26929833808
2020-09-04,129335.60494009142
2020-09-08,125801.81926125959
2020-09-09,128286.0028196478
2020-09-10,126058.4887783539
2020-09-11,126122.681115768
2020-09-14,127783.88246962236
2020-09-15,128429.47469041955
2020-09-16,127919.79202381692
2020-09-17,126794.6665701637
2020-09-18,125334.96476378705
2020-09-21,123940.0418111267
2020-09-22,125202.31224693017
2020-09-23,122298.73209526576
2020-09-24,122624.68541043995
2020-09-25,124607.147949051
2020-09-28,126676.83918877489
2020-09-29,125986.946268557
2020-09-30,126942.16918062918
2020-10-01,127757.15230112677
2020-10-02,126544.16171377747
2020-10-05,128788.17308595423
2020-10-06,126957.30629285378
2020-10-07,129167.21236601174
2020-10-08,130311.97987625319
2020-10-09,131475.6906151483
2020-10-12,133590.80567061622
2020-10-13,132719.01782229808
2020-10-14,131885.07899407652
2020-10-15,131722.05242020838
2020-10-16,131642.48586823477
2020-10-19,129641.05514282951
2020-10-20,130160.33421446156
2020-10-21,129913.94745126097
2020-10-22,130626.61467470218
2020-10-23,131070.07091543842
2020-10-26,128647.94577344997
2020-10-27,128204.41465829218
2020-10-28,123822.55136463496
2020-10-29,125080.97824679856
2020-10-30,123777.05267446939
2020-11-02,125164.42578962284
2020-11-03,127374.31938371054
2020-11-04,130221.01993313285
2020-11-05,132760.67295882385
2020-11-06,132730.36129716388
2020-11-09,134398.1765582557
2020-11-10,134201.08212257954
2020-11-11,135197.9976083882
2020-11-12,133886.48476134133
2020-11-13,135740.05098324356
2020-11-16,137434.43418491754
2020-11-17,136695.28637438602
2020-11-18,135050.1580630257
2020-11-19,135618.7918575335
2020-11-20,134690.0744906922
2020-11-23,135497.44537833158
2020-11-24,137680.8459062587
2020-11-25,137468.55196300667
2020-11-27,137851.39735949325
2020-11-30,137241.12090753
2020-12-01,138742.20331088666
2020-12-02,139034.0513270421
2020-12-03,138996.12743252394
2020-12-04,140193.96842857837
2020-12-07,139905.87661257107
2020-12-08,140315.27747056956
2020-12-09,139056.81315119518
2020-12-10,139011.30198195935
2020-12-11,138848.30036623174
2020-12-14,138226.65548126222
2020-12-15,140095.44616888088
2020-12-16,140315.27747056956
2020-12-17,141099.9239712667
